date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:20	5828/5828	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2020:58:28%20GMT	https://000024.org/religions_tree/religions_tree_8.html	C:/Users/Dustpickle/Documents/httrack/Religion%20Tree/000024.org/religions_tree/religions_tree_8.html	(from )
21:22:20	132/132	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Sep%202021%2001:22:22%20GMT	https://000024.org/robots.txt		(from )
21:22:22	36315/36315	---M--	200	added ('OK')	image/png	etag:%22555116b8-8ddb%22	http://img.000024.org/religions_tree/religions_tree_8_0.png	C:/Users/Dustpickle/Documents/httrack/Religion%20Tree/img.000024.org/religions_tree/religions_tree_8_0.png	(from https://000024.org/religions_tree/religions_tree_8.html)
21:22:26	31715/31715	---M--	200	added ('OK')	image/png	etag:%22555116b8-7be3%22	http://img.000024.org/religions_tree/religions_tree_8_1.png	C:/Users/Dustpickle/Documents/httrack/Religion%20Tree/img.000024.org/religions_tree/religions_tree_8_1.png	(from https://000024.org/religions_tree/religions_tree_8.html)
21:22:29	50089/50089	---M--	200	added ('OK')	image/png	etag:%22555116b8-c3a9%22	http://img.000024.org/religions_tree/religions_tree_8_2.png	C:/Users/Dustpickle/Documents/httrack/Religion%20Tree/img.000024.org/religions_tree/religions_tree_8_2.png	(from https://000024.org/religions_tree/religions_tree_8.html)
21:22:31	9226/9226	---M--	200	added ('OK')	image/png	etag:%22555116b8-240a%22	http://img.000024.org/religions_tree/religions_tree_8_6.png	C:/Users/Dustpickle/Documents/httrack/Religion%20Tree/img.000024.org/religions_tree/religions_tree_8_6.png	(from https://000024.org/religions_tree/religions_tree_8.html)
21:22:39	47540/47540	---M--	200	added ('OK')	image/png	etag:%22555116b8-b9b4%22	http://img.000024.org/religions_tree/religions_tree_8_7.png	C:/Users/Dustpickle/Documents/httrack/Religion%20Tree/img.000024.org/religions_tree/religions_tree_8_7.png	(from https://000024.org/religions_tree/religions_tree_8.html)
21:22:40	2643/2643	---M--	200	added ('OK')	image/png	etag:%22555116b8-a53%22	http://img.000024.org/religions_tree/religions_tree_8_8.png	C:/Users/Dustpickle/Documents/httrack/Religion%20Tree/img.000024.org/religions_tree/religions_tree_8_8.png	(from https://000024.org/religions_tree/religions_tree_8.html)
21:22:41	9922/9922	---M--	200	added ('OK')	image/png	etag:%22555116b8-26c2%22	http://img.000024.org/religions_tree/religions_tree_8_9.png	C:/Users/Dustpickle/Documents/httrack/Religion%20Tree/img.000024.org/religions_tree/religions_tree_8_9.png	(from https://000024.org/religions_tree/religions_tree_8.html)
21:23:15	300753/300753	---M--	200	added ('OK')	image/png	etag:%22555116b8-496d1%22	http://img.000024.org/religions_tree/religions_tree_8_5.png	C:/Users/Dustpickle/Documents/httrack/Religion%20Tree/img.000024.org/religions_tree/religions_tree_8_5.png	(from https://000024.org/religions_tree/religions_tree_8.html)
21:23:19	359955/359955	---M--	200	added ('OK')	image/png	etag:%22555116b8-57e13%22	http://img.000024.org/religions_tree/religions_tree_8_3.png	C:/Users/Dustpickle/Documents/httrack/Religion%20Tree/img.000024.org/religions_tree/religions_tree_8_3.png	(from https://000024.org/religions_tree/religions_tree_8.html)
